pre,post,type,weight,neurotransmitter
AVAL,AVAR,gap,4,
AVAL,AVBL,chemical,2,glutamate
AVAL,AVBR,chemical,1,glutamate
AVAL,AVDL,chemical,1,glutamate
AVAL,AVDR,chemical,1,glutamate
AVAL,AVEL,chemical,1,glutamate
AVAL,DA01,chemical,5,acetylcholine
AVAL,DA02,chemical,7,acetylcholine
AVAL,DA03,chemical,4,acetylcholine
AVAL,DA04,chemical,3,acetylcholine
AVAL,DA05,chemical,2,acetylcholine
AVAL,DA06,chemical,1,acetylcholine
AVAL,DA07,chemical,1,acetylcholine
AVAL,VA01,chemical,6,acetylcholine
AVAL,VA02,chemical,5,acetylcholine
AVAL,VA03,chemical,4,acetylcholine
AVAL,VA04,chemical,3,acetylcholine
AVAL,VA05,chemical,2,acetylcholine
AVAL,VA06,chemical,2,acetylcholine
AVAL,VA07,chemical,1,acetylcholine
AVAL,VA08,chemical,2,acetylcholine
AVAL,VA09,chemical,1,acetylcholine
AVAL,VA10,chemical,1,acetylcholine
AVAL,VA11,chemical,1,acetylcholine
AVAL,AS01,chemical,3,acetylcholine
AVAL,AS02,chemical,3,acetylcholine
AVAL,AS03,chemical,2,acetylcholine
AVAL,AS04,chemical,1,acetylcholine
AVAL,AS05,chemical,1,acetylcholine
AVAL,AS10,chemical,1,acetylcholine
AVAL,PVCL,chemical,3,glutamate
AVAL,PVCR,chemical,2,glutamate
AVAL,RIML,chemical,1,acetylcholine
AVAL,RIMR,chemical,1,acetylcholine
AVAL,SABD,chemical,2,acetylcholine
AVAL,SABVL,chemical,1,acetylcholine
AVAR,AVAL,gap,4,
AVAR,AVBL,chemical,1,glutamate
AVAR,AVBR,chemical,2,glutamate
AVAR,AVDL,chemical,1,glutamate
AVAR,AVDR,chemical,2,glutamate
AVAR,AVER,chemical,1,glutamate
AVAR,DA01,chemical,3,acetylcholine
AVAR,DA02,chemical,4,acetylcholine
AVAR,DA03,chemical,3,acetylcholine
AVAR,DA04,chemical,2,acetylcholine
AVAR,DA05,chemical,3,acetylcholine
AVAR,DA06,chemical,1,acetylcholine
AVAR,DA07,chemical,2,acetylcholine
AVAR,DA08,chemical,1,acetylcholine
AVAR,DA09,chemical,1,acetylcholine
AVAR,VA01,chemical,3,acetylcholine
AVAR,VA02,chemical,4,acetylcholine
AVAR,VA03,chemical,3,acetylcholine
AVAR,VA04,chemical,2,acetylcholine
AVAR,VA05,chemical,3,acetylcholine
AVAR,VA06,chemical,1,acetylcholine
AVAR,VA07,chemical,2,acetylcholine
AVAR,VA08,chemical,1,acetylcholine
AVAR,VA10,chemical,1,acetylcholine
AVAR,VA12,chemical,1,acetylcholine
AVAR,AS01,chemical,2,acetylcholine
AVAR,AS02,chemical,2,acetylcholine
AVAR,AS03,chemical,2,acetylcholine
AVAR,AS05,chemical,1,acetylcholine
AVAR,PVCL,chemical,2,glutamate
