name,class,type
ADAL,interneuron,hermaphrodite
ADAR,interneuron,hermaphrodite
ADEL,sensory,hermaphrodite
ADER,sensory,hermaphrodite
ADFL,sensory,hermaphrodite
ADFR,sensory,hermaphrodite
ADLL,sensory,hermaphrodite
ADLR,sensory,hermaphrodite
AFDL,sensory,hermaphrodite
AFDR,sensory,hermaphrodite
AIAL,interneuron,hermaphrodite
AIAR,interneuron,hermaphrodite
AIBL,interneuron,hermaphrodite
AIBR,interneuron,hermaphrodite
AIML,interneuron,hermaphrodite
AIMR,interneuron,hermaphrodite
AINL,interneuron,hermaphrodite
AINR,interneuron,hermaphrodite
AIYL,interneuron,hermaphrodite
AIYR,interneuron,hermaphrodite
AIZL,interneuron,hermaphrodite
AIZR,interneuron,hermaphrodite
ALA,interneuron,hermaphrodite
ALML,sensory,hermaphrodite
ALMR,sensory,hermaphrodite
ALNL,sensory,hermaphrodite
ALNR,sensory,hermaphrodite
AQR,sensory,hermaphrodite
AS01,motor,hermaphrodite
AS02,motor,hermaphrodite
AS03,motor,hermaphrodite
AS04,motor,hermaphrodite
AS05,motor,hermaphrodite
AS06,motor,hermaphrodite
AS07,motor,hermaphrodite
AS08,motor,hermaphrodite
AS09,motor,hermaphrodite
AS10,motor,hermaphrodite
AS11,motor,hermaphrodite
ASEL,sensory,hermaphrodite
ASER,sensory,hermaphrodite
ASGL,sensory,hermaphrodite
ASGR,sensory,hermaphrodite
ASHL,sensory,hermaphrodite
ASHR,sensory,hermaphrodite
ASIL,sensory,hermaphrodite
ASIR,sensory,hermaphrodite
ASJL,sensory,hermaphrodite
ASJR,sensory,hermaphrodite
ASKL,sensory,hermaphrodite
ASKR,sensory,hermaphrodite
AUAL,interneuron,hermaphrodite
AUAR,interneuron,hermaphrodite
AVAL,interneuron,hermaphrodite
AVAR,interneuron,hermaphrodite
AVBL,interneuron,hermaphrodite
AVBR,interneuron,hermaphrodite
AVDL,interneuron,hermaphrodite
AVDR,interneuron,hermaphrodite
AVEL,interneuron,hermaphrodite
AVER,interneuron,hermaphrodite
AVFL,interneuron,hermaphrodite
AVFR,interneuron,hermaphrodite
AVG,interneuron,hermaphrodite
AVHL,interneuron,hermaphrodite
AVHR,interneuron,hermaphrodite
AVJL,interneuron,hermaphrodite
AVJR,interneuron,hermaphrodite
AVKL,interneuron,hermaphrodite
AVKR,interneuron,hermaphrodite
AVL,interneuron,hermaphrodite
AVM,sensory,hermaphrodite
AWAL,sensory,hermaphrodite
AWAR,sensory,hermaphrodite
AWBL,sensory,hermaphrodite
AWBR,sensory,hermaphrodite
AWCL,sensory,hermaphrodite
AWCR,sensory,hermaphrodite
BAGL,sensory,hermaphrodite
BAGR,sensory,hermaphrodite
BDUL,interneuron,hermaphrodite
BDUR,interneuron,hermaphrodite
CEPDL,sensory,hermaphrodite
CEPDR,sensory,hermaphrodite
CEPVL,sensory,hermaphrodite
CEPVR,sensory,hermaphrodite
DA01,motor,hermaphrodite
DA02,motor,hermaphrodite
DA03,motor,hermaphrodite
DA04,motor,hermaphrodite
DA05,motor,hermaphrodite
DA06,motor,hermaphrodite
DA07,motor,hermaphrodite
DA08,motor,hermaphrodite
DA09,motor,hermaphrodite
DB01,motor,hermaphrodite
DB02,motor,hermaphrodite
DB03,motor,hermaphrodite
DB04,motor,hermaphrodite
DB05,motor,hermaphrodite
DB06,motor,hermaphrodite
DB07,motor,hermaphrodite
DD01,motor,hermaphrodite
DD02,motor,hermaphrodite
DD03,motor,hermaphrodite
DD04,motor,hermaphrodite
DD05,motor,hermaphrodite
DD06,motor,hermaphrodite
DVA,interneuron,hermaphrodite
DVB,interneuron,hermaphrodite
DVC,interneuron,hermaphrodite
FLPL,sensory,hermaphrodite
FLPR,sensory,hermaphrodite
HSNL,motor,hermaphrodite
HSNR,motor,hermaphrodite
I1L,motor,hermaphrodite
I1R,motor,hermaphrodite
I2L,motor,hermaphrodite
I2R,motor,hermaphrodite
I3,motor,hermaphrodite
I4,motor,hermaphrodite
I5,motor,hermaphrodite
